,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-09-13,-0.09562669785591127,-0.0958456425211256,-0.09758303201560994,0.019507029752065874,0.11596111542575387,0.06590367077923011
2018-09-14,-0.09562669785655442,-0.09584564252170835,-0.09758303201624866,0.01950702975310163,0.11596111543370025,0.06590367078061954
2018-09-15,-0.09562669785709085,-0.09584564252219446,-0.09758303201678145,0.01950702975396563,0.11596111544032858,0.06590367078177836
2018-09-16,-0.09562669785753844,-0.09584564252260003,-0.09758303201722598,0.019507029754686163,0.11596111544585758,0.065903670782745
2018-09-17,-0.09562669785791157,-0.09584564252293809,-0.0975830320175966,0.019507029755287272,0.11596111545046935,0.06590367078355149
2018-09-18,-0.09562669785822307,-0.09584564252322036,-0.09758303201790594,0.019507029755788653,0.11596111545431624,0.06590367078422407
2018-09-19,-0.09562669785848268,-0.0958456425234556,-0.09758303201816378,0.019507029756207002,0.11596111545752501,0.06590367078478512
2018-09-20,-0.0956266978586994,-0.09584564252365194,-0.09758303201837903,0.019507029756555803,0.11596111546020162,0.06590367078525297
2018-09-21,-0.09562669785888009,-0.09584564252381571,-0.0975830320185585,0.019507029756846768,0.11596111546243423,0.06590367078564345
2018-09-22,-0.09562669785903077,-0.09584564252395228,-0.09758303201870816,0.01950702975708949,0.1159611154642965,0.06590367078596905
2018-09-23,-0.09562669785915653,-0.09584564252406619,-0.09758303201883305,0.019507029757291995,0.11596111546584989,0.06590367078624067
2018-09-24,-0.09562669785926149,-0.09584564252416128,-0.09758303201893724,0.019507029757460895,0.1159611154671456,0.06590367078646717
2018-09-25,-0.0956266978593489,-0.09584564252424049,-0.09758303201902409,0.019507029757601768,0.11596111546822643,0.06590367078665607
2018-09-26,-0.09562669785942188,-0.09584564252430666,-0.09758303201909659,0.019507029757719185,0.11596111546912802,0.0659036707868137
2018-09-27,-0.09562669785948266,-0.09584564252436169,-0.09758303201915691,0.019507029757817235,0.11596111546987994,0.06590367078694533
2018-09-28,-0.09562669785953345,-0.09584564252440775,-0.09758303201920737,0.019507029757899065,0.11596111547050719,0.06590367078705495
2018-09-29,-0.09562669785957582,-0.09584564252444616,-0.0975830320192495,0.019507029757967184,0.11596111547103051,0.06590367078714636
2018-09-30,-0.09562669785961112,-0.09584564252447812,-0.09758303201928455,0.019507029758024007,0.1159611154714669,0.06590367078722276
2018-10-01,-0.09562669785964063,-0.0958456425245048,-0.09758303201931379,0.01950702975807154,0.11596111547183091,0.06590367078728646
2018-10-02,-0.09562669785966522,-0.09584564252452712,-0.09758303201933823,0.01950702975811123,0.1159611154721346,0.0659036707873394
2018-10-03,-0.09562669785968571,-0.09584564252454572,-0.09758303201935861,0.019507029758144123,0.115961115472388,0.06590367078738361
2018-10-04,-0.0956266978597027,-0.09584564252456107,-0.09758303201937549,0.019507029758171618,0.11596111547259921,0.06590367078742072
2018-10-05,-0.09562669785971703,-0.09584564252457403,-0.0975830320193897,0.019507029758194617,0.11596111547277539,0.06590367078745157
2018-10-06,-0.09562669785972898,-0.09584564252458487,-0.09758303201940156,0.01950702975821384,0.11596111547292241,0.0659036707874772
2018-10-07,-0.0956266978597389,-0.09584564252459388,-0.09758303201941143,0.019507029758229797,0.11596111547304506,0.0659036707874986
2018-10-08,-0.09562669785974712,-0.09584564252460133,-0.0975830320194196,0.0195070297582431,0.11596111547314733,0.06590367078751652
2018-10-09,-0.09562669785975406,-0.09584564252460762,-0.09758303201942649,0.019507029758254236,0.11596111547323262,0.06590367078753151
2018-10-10,-0.09562669785975979,-0.09584564252461282,-0.09758303201943219,0.019507029758263503,0.11596111547330379,0.0659036707875439
2018-10-11,-0.09562669785976469,-0.09584564252461725,-0.09758303201943701,0.01950702975827124,0.11596111547336317,0.06590367078755426
2018-10-12,-0.09562669785976856,-0.09584564252462077,-0.09758303201944094,0.019507029758277734,0.11596111547341265,0.06590367078756293
2018-10-13,-0.09562669785977213,-0.09584564252462402,-0.09758303201944443,0.019507029758283022,0.11596111547345403,0.0659036707875701
2018-10-14,-0.09562669785977465,-0.09584564252462631,-0.09758303201944696,0.01950702975828762,0.11596111547348836,0.0659036707875763
2018-10-15,-0.09562669785977723,-0.09584564252462864,-0.0975830320194495,0.019507029758291352,0.11596111547351717,0.06590367078758112
